,stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
183780,832002314,2015-01-19 16:34:51,Stunners from Pope Francis,http://rss.cnn.com/~r/rss/cnn_topstories/~3/UaxnD5CuzGo/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
190034,844395719,2015-03-19 16:44:54,Wine or your waistline? Rules to follow,http://rss.cnn.com/~r/rss/cnn_topstories/~3/wK_q3oiEuiw/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
195649,906117152,2015-06-17 15:43:49,Where to honor the end of slavery,http://rss.cnn.com/~r/rss/cnn_topstories/~3/IacgohlTr6Y/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
209176,1043615389,2015-08-14 18:50:44,6 surprising facts about Whitey Bulger,http://rss.cnn.com/~r/rss/cnn_topstories/~3/wDq1FnUggwo/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
209223,1059293125,2015-06-29 13:53:47,Why was this car hidden away for 30 years?,http://rss.cnn.com/~r/rss/cnn_world/~3/7ZgSR3Mqrbc/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
209551,1077992621,2015-11-23 07:50:55,Where Thanksgiving calories hide -- and how to burn them off,http://rss.cnn.com/~r/rss/cnn_topstories/~3/_g1fQDR-Bmo/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
209948,1111875058,2015-06-12 03:18:17,How to eat your way through Kolkata,http://rss.cnn.com/~r/rss/cnn_topstories/~3/jxbsowcdx_M/index.html,en,False,"restaurants, food, cooking and cookbooks, recipes",20088,CNN U.S. Edition,http://us.cnn.com
226221,1590241121,2015-09-04 10:32:56,This is the city with the highest minimum wage in America,http://rss.cnn.com/~r/rss/cnn_latest/~3/OnmjNUT3Xss/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226222,1590241098,2015-09-05 15:14:56,The Fed is handcuffing itself. Here's how,http://rss.cnn.com/~r/rss/cnn_latest/~3/4eV2iB5agXo/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226223,1590241084,2015-09-08 12:35:06,Verizon to begin testing 5G network,http://rss.cnn.com/~r/rss/cnn_latest/~3/vqo0ifmlDtI/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226224,1590241081,2015-09-09 14:46:25,Only 9 Hispanic CEOs at top 500 companies,http://rss.cnn.com/~r/rss/cnn_latest/~3/quEcEPJ6q60/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226225,1590241080,2015-09-10 16:09:28,"Uber, Ashley Madison, Airbnb -- this startup is mapping it all",http://rss.cnn.com/~r/rss/cnn_latest/~3/4WRkJenDkns/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226226,1590241078,2015-09-14 14:15:57,Sorry. IRS no longer accepting $100 million checks,http://rss.cnn.com/~r/rss/cnn_latest/~3/m7_6NOAXMEQ/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226227,1590241074,2015-09-17 15:44:51,Grounded American Airlines flights resuming after technical problems,http://rss.cnn.com/~r/rss/cnn_latest/~3/AU3OHPIBmJ4/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226228,1590241070,2015-09-18 02:52:27,Xi goes to Washington: 4 problems for the U.S. and China,http://rss.cnn.com/~r/rss/cnn_latest/~3/2fwlRKKNRio/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226229,1590241067,2015-09-18 06:20:41,Alibaba: The year that Jack Ma would like to forget,http://rss.cnn.com/~r/rss/cnn_latest/~3/_hxJlksh198/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226230,1590241060,2015-09-18 13:20:30,Big cable deal: Altice buys Cablevision,http://rss.cnn.com/~r/rss/cnn_latest/~3/b9g0blu-Kh4/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226231,1590241054,2015-09-22 10:11:08,Hillary Clinton tweet crushes biotech stocks,http://rss.cnn.com/~r/rss/cnn_latest/~3/ptIO0z9BOwo/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226232,1590241043,2015-09-22 10:39:45,Volkswagen stock crashes 20% on emissions cheating scandal,http://rss.cnn.com/~r/rss/cnn_latest/~3/20fHZYWu3Ns/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226233,1590241033,2015-09-22 17:02:40,Brian Williams returns to TV without fanfare as he anchors pope coverage,http://rss.cnn.com/~r/rss/cnn_latest/~3/DE6MC8G0nZQ/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226234,1590241019,2015-09-30 14:07:09,Google launches new Nexus phones and Chromecast Audio,http://rss.cnn.com/~r/rss/cnn_latest/~3/w2rwmmYq-Q8/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226235,1590241113,2015-09-04 16:09:35,Up in the air: Fed rate hike remains unclear,http://rss.cnn.com/~r/rss/cnn_latest/~3/ZhJCklbAYrU/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226307,1614255448,2015-01-02 16:50:07,Inside the dark world of Kowloon Walled City,http://rss.cnn.com/~r/rss/cnn_world/~3/-WrsKpnr4AM/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226599,1699942556,2015-12-07 11:54:34,World War II in pictures,http://rss.cnn.com/~r/rss/cnn_topstories/~3/zlcpw5c2KkI/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
226710,1743986806,2015-09-24 16:08:16,Opinion: My time in the lymphoma club,http://rss.cnn.com/~r/rss/cnn_topstories/~3/0KCBWk49OtU/index.html,en,False,,20088,CNN U.S. Edition,http://us.cnn.com
